,tweet_id,text,retweeted_status_id,retweeted_status_user_id,expanded_urls,rating_numerator,rating_denominator,rt_date,rt_year,rt_month,rt_day,rt_time,t_time_a,rt_time_a,clean_source,internet_nickname,clean_name,jpg_url,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,favorite_count,retweet_count,Actual_Rating
307,835685285446955009,RT @dog_rates: This is Rory. He's got an interview in a few minutes. Looking spiffy af. Nervous as h*ck tho. 12/10 would hire https://t.co/…,7.869630643735347e+17,4196983835.0,https://twitter.com/dog_rates/status/786963064373534720/photo/1,12,10,2016-10-14,2016.0,10.0,14.0,16:13:10 ,2,16.0,Twitter for iPhone,,Rory,,,,,,,,,,,,0.0,7404.0,1.2
309,835536468978302976,"RT @dog_rates: Meet Lola. Her hobbies include being precious af and using her foot as a toothbrush. 12/10 Lola requests your help

https://…",8.35264098648617e+17,4196983835.0,"https://www.gofundme.com/lolas-life-saving-surgery-funds,https://twitter.com/dog_rates/status/835264098648616962/photo/1,https://twitter.com/dog_rates/status/835264098648616962/photo/1",12,10,2017-02-24,2017.0,2.0,24.0,23:04:14 ,17,23.0,Twitter for iPhone,,Lola,,,,,,,,,,,,0.0,1540.0,1.2
310,835309094223372289,RT @dog_rates: So this just changed my life. 13/10 please enjoy  https://t.co/dsv4xAtfv7,7.530398308215112e+17,4196983835.0,"https://vine.co/v/5W2Dg3XPX7a,https://vine.co/v/5W2Dg3XPX7a",13,10,2016-07-13,2016.0,7.0,13.0,01:34:21 ,2,1.0,Twitter for iPhone,,None,,,,,,,,,,,,,,1.3
319,834477809192075265,RT @dog_rates: This is Leo. He was a skater pup. She said see ya later pup. He wasn't good enough for her. 12/10 you're good enough for me…,8.295019951909847e+17,4196983835.0,"https://twitter.com/dog_rates/status/829501995190984704/photo/1,https://twitter.com/dog_rates/status/829501995190984704/photo/1",12,10,2017-02-09,2017.0,2.0,9.0,01:27:41 ,18,1.0,Twitter for iPhone,,Leo,,,,,,,,,,,,0.0,9747.0,1.2
327,833732339549220864,"RT @rolltidered: This is Gabby. Now requests to be referred to as a guide dog, thanks to @dog_rates and @ShopWeRateDogs. 12/10 in my book.…",8.324343582922097e+17,44667502.0,https://twitter.com/rolltidered/status/832434358292209665/photo/1,12,10,2017-02-17,2017.0,2.0,17.0,03:39:51 ,17,3.0,Twitter for iPhone,,Gabby,,,,,,,,,,,,0.0,204.0,1.2
332,832769181346996225,RT @EmilieGambril: 12/10 h*cking excited about my new shirt! @dog_rates https://t.co/zFEfMTaHqU,8.327663821985669e+17,487197737.0,"https://twitter.com/EmilieGambril/status/832766382198566913/photo/1,https://twitter.com/EmilieGambril/status/832766382198566913/photo/1,https://twitter.com/EmilieGambril/status/832766382198566913/photo/1,https://twitter.com/EmilieGambril/status/832766382198566913/photo/1",12,10,2017-02-18,2017.0,2.0,18.0,01:39:12 ,1,1.0,Twitter for iPhone,,None,https://pbs.twimg.com/media/C46UmzSVMAAqBug.jpg,1.0,jersey,0.895698,False,sweatshirt,0.0890854,False,poncho,0.00297522,False,,,1.2
340,832215909146226688,"RT @dog_rates: This is Logan, the Chow who lived. He solemnly swears he's up to lots of good. H*ckin magical af 9.75/10 https://t.co/yBO5wu…",7.867090828498289e+17,4196983835.0,https://twitter.com/dog_rates/status/786709082849828864/photo/1,75,10,2016-10-13,2016.0,10.0,13.0,23:23:56 ,13,23.0,Twitter for iPhone,,Logan,,,,,,,,,,,,,,7.5
341,832215726631055365,RT @dog_rates: This is Moreton. He's the Good Boy Who Lived. 13/10 magical as h*ck https://t.co/rLHGx3VAF3,7.932864763017994e+17,4196983835.0,"https://twitter.com/dog_rates/status/793286476301799424/photo/1,https://twitter.com/dog_rates/status/793286476301799424/photo/1,https://twitter.com/dog_rates/status/793286476301799424/photo/1,https://twitter.com/dog_rates/status/793286476301799424/photo/1",13,10,2016-11-01,2016.0,11.0,1.0,03:00:09 ,13,3.0,Twitter for iPhone,,Moreton,https://pbs.twimg.com/media/CwJR1okWIAA6XMp.jpg,1.0,Afghan_hound,0.274637,True,borzoi,0.142204,True,doormat,0.109677,False,0.0,8572.0,1.3
343,832040443403784192,RT @dog_rates: This is Klein. These pics were taken a month apart. He knows he's a stud now. 12/10 total heartthrob https://t.co/guDkLrX8zV,7.69940425801171e+17,4196983835.0,"https://twitter.com/dog_rates/status/769940425801170949/photo/1,https://twitter.com/dog_rates/status/769940425801170949/photo/1,https://twitter.com/dog_rates/status/769940425801170949/photo/1,https://twitter.com/dog_rates/status/769940425801170949/photo/1",12,10,2016-08-28,2016.0,8.0,28.0,16:51:16 ,1,16.0,Twitter for iPhone,,Klein,https://pbs.twimg.com/media/Cq9guJ5WgAADfpF.jpg,1.0,miniature_pinscher,0.796313,True,Chihuahua,0.15541300000000002,True,Staffordshire_bullterrier,0.0309433,True,0.0,8807.0,1.2
357,830173239259324417,RT @dog_rates: This is Kyro. He's a Stratocumulus Flop. Tongue ejects at random. Serious h*ckin condition. Still 12/10 would pet passionate…,8.09220051211604e+17,4196983835.0,"https://twitter.com/dog_rates/status/809220051211603969/photo/1,https://twitter.com/dog_rates/status/809220051211603969/photo/1",12,10,2016-12-15,2016.0,12.0,15.0,02:14:29 ,21,2.0,Twitter for iPhone,,Kyro,,,,,,,,,,,,0.0,5228.0,1.2
